Country,Total_Death,Total_Recovered,Total_Cases,Critical
Saint-Helena,,2,2166,
Falkland-Islands,,1930,1930,
Montserrat,8,1376,1403,
Diamond-Princess,13,699,712,
Vatican-City,,29,29,
Western-Sahara,1,9,10,
MS-Zaandam,2,7,9,
China,5272,379053,503302,
Tokelau,,,80,
Niue,,1056,1059,
Nauru,1,5347,5393,
Wallis-and-Futuna,8,438,3550,
St-Barth,6,,5507,
Saint-Kitts-and-Nevis,48,6559,6607,
Kiribati,24,2703,5085,3
Sao-Tome-and-Principe,80,6685,6778,
Turks-and-Caicos,40,6709,6752,4
Palau,10,6276,6290,
Anguilla,12,,3904,
Saint-Pierre-Miquelon,2,2449,3452,
Tuvalu,1,,2943,
Eritrea,103,10086,10189,
Niger,312,8890,9931,1
Liberia,295,7783,8090,2
Comoros,161,8939,9109,
Guinea-Bissau,177,8929,9614,6
Chad,194,4874,7701,
Sint-Maarten,92,10905,11051,
St-Vincent-Grenadines,124,9493,9674,
Antigua-and-Barbuda,146,8954,9106,
Sierra-Leone,126,,7779,
British-Virgin-Islands,64,,7392,
Cook-Islands,2,7150,7203,
Djibouti,189,15427,15690,
Greenland,21,2761,11971,4
Caribbean-Netherlands,38,10476,11682,
Gambia,372,12189,12626,
Vanuatu,14,11976,12019,
Samoa,31,1605,17006,
Tonga,13,15638,16950,
Marshall-Islands,17,16121,16138,
Dominica,74,15964,16038,
CAR,113,15200,15440,2
Saint-Martin,63,,12324,
Yemen,2159,9124,11945,
Nicaragua,225,4225,18491,
Tajikistan,125,17264,17786,
Equatorial-Guinea,183,16907,17229,5
Bermuda,165,18685,18860,
Grenada,238,19358,19693,4
Timor-Leste,138,23102,23460,
Burkina-Faso,400,21596,22114,
Liechtenstein,94,,21574,
Gibraltar,113,,20550,
South-Sudan,147,18115,18819,1
Monaco,67,,17181,
Cayman-Islands,37,8553,31472,1
Congo,386,24006,25375,
Somalia,1361,13182,27334,
Haiti,860,33734,34667,
Faeroe-Islands,28,,34658,
Mali,743,32332,33164,
Saint-Lucia,410,29805,30215,
Benin,163,27847,28036,
Macao,123,3487,27673,
Micronesia,65,,26547,
San-Marino,128,26011,26185,
Solomon-Islands,199,,25954,
Cura&ccedil;ao,295,44720,45986,3
Isle-of-Man,116,,38008,
Mayotte,188,,42027,
Bahamas,844,36366,38084,1
Aruba,292,42438,44224,2
Seychelles,172,51048,51220,
Gabon,307,48674,49051,
Andorra,165,,48015,
Papua-New-Guinea,670,46168,46864,
Tanzania,846,,43223,
Mauritius,1051,41278,43025,
Togo,290,39281,39572,
Guinea,468,37757,38572,
Lesotho,723,25980,36138,
Fiji,885,67226,69117,
French-Polynesia,650,,79254,
Eswatini,1427,73116,75191,
Guyana,1300,72013,74137,
Belize,688,,71409,
Madagascar,1426,66862,68486,
Cabo-Verde,417,63755,64477,23
Sudan,5046,58947,63993,
Mauritania,997,62471,63848,
Bhutan,21,61564,62697,
Syria,3165,54578,57743,
Burundi,38,53569,54721,
French-Guiana,420,11254,98041,6
Channel-Islands,228,101321,101717,
Suriname,1408,,82588,
Cambodia,3056,136044,139103,
Rwanda,1468,132039,133518,
Cameroon,1974,123280,125379,
Malta,885,120149,121420,
Barbados,648,108647,110578,
Angola,1937,103419,107327,
DRC,1468,84489,99338,
Malawi,2686,,89535,
Senegal,1971,87024,89053,
Ivory-Coast,835,87497,88384,
New-Caledonia,314,,80064,
